source_key,title,url,date,type,via
wiki-09634-2,Nghị quyết số 1656/NQ-UBTVQH15 ngày 16 tháng 6 năm 2025 của Ủy ban Thường vụ Quốc hội về việc sắp xếp các đơn vị hành chính cấp xã của thành phố Hà Nội năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/1656-nq.signed.pdf,2026-06-30,wikipedia-ref,
wiki-09634-3,Nghị quyết số 1286/NQ-UBTVQH15 ngày 14 tháng 11 năm 2024 của Ủy ban Thường vụ Quốc hội về việc sắp xếp đơn vị hành chính cấp xã của thành phố Hà Nội giai đoạn 2023 – 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/11/1286-qh.signed.pdf,2026-07-24,wikipedia-ref,
wiki-09661-1,Nghị quyết số 111/2025/UBTVQH15 ngày 24 tháng 12 năm 2025 của Ủy ban Thường vụ Quốc hội về phân loại đô thị,https://cdn.nhandan.vn/files/f4a4abf7f9a0ba4a91744616546d850872b76917f90d5a74cc9eebef1369fb6f/111.pdf,2026-07-12,wikipedia-ref,
wiki-09661-2,Nghị quyết số 1656/NQ-UBTVQH15 ngày 16 tháng 6 năm 2025 của Ủy ban Thường vụ Quốc hội về việc sắp xếp các đơn vị hành chính cấp xã của thành phố Hà Nội năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/1656-nq.signed.pdf,2026-05-13,wikipedia-ref,
wiki-09661-3,Minh Châu hoàn tất bầu cử sớm: 100% cử tri tham gia bỏ phiếu,https://minhchau.hanoi.gov.vn/chuyen-muc-bau-cu/minh-chau-hoan-tat-bau-cu-som-100-cu-tri-tham-gia-bo-phieu-2722260316215955749.htm,2026-03-15,wikipedia-ref,
wiki-09664-1,"Hội đồng nhân dân xã Vật Lại khóa XXI tổ chức thành công Kỳ họp thứ Ba, thông qua nhiều nghị quyết quan trọng",https://vatlai.hanoi.gov.vn/tin-tuc-su-kien-noi-bat/hdnd-xa-vat-lai-khoa-xxi-to-chuc-thanh-cong-ky-hop-thu-ba-thong-qua-nhieu-nghi-quyet-quan-trong-2730260702073317489.htm?gidzl=Q7K-DOlWP1LiQZepWVjX46PcEJMTy60TUsLgEPxtDHj_PcqxalLd6NOqFJgGzZDD9sTaQMBLf6yHZk5W5m,2026-07-02,wikipedia-ref,
wiki-09664-2,"Xã Vật Lại tổ chức hội nghị phổ biến, quán triệt nghị quyết về Đề án sáp nhập thôn",https://vatlai.hanoi.gov.vn/tin-tuc-su-kien-noi-bat/xa-vat-lai-to-chuc-hoi-nghi-pho-bien-quan-triet-nghi-quyet-ve-de-an-sap-nhap-thon-2730260615152424766.htm?gidzl=y_P61DOPY5xtwK82t0ADM_tbGGF02OnHuEOI3yCEsLVavHKDpmoBLUstHGpD3zy1lEGSNs8JtljhqnYCN0,2026-06-15,wikipedia-ref,
wiki-09664-3,"Danh sách 15 thôn sau sắp xếp, tổ chức lại thôn theo nghị quyết của Ban Chấp hành Đảng bộ xã Vật Lại",https://web.facebook.com/story.php?story_fbid=1496824859150272&id=100064683157439&rdid=k76Qi7olKd3vAn2M#,2026-07-04,wikipedia-ref,
wiki-09676-1,"Hội đồng nhân dân xã Bất Bạt khai mạc kỳ họp thứ 3, xem xét quyết định nhiều nội dung quan trọng về phát triển địa phương",https://batbat.hanoi.gov.vn/hoat-dong-cua-hdnd-xa-bat-bat/hdnd-xa-bat-bat-khai-mac-ky-hop-thu-3-xem-xet-quyet-dinh-nhieu-noi-dung-quan-trong-ve-phat-trien-dia-phuong-2759260629084650803.htm,2026-06-29,wikipedia-ref,
wiki-09676-2,"Ủy ban bầu cử xã Bất Bạt công bố danh sách những người trúng cử đại biểu Hội đồng nhân dân xã Bất Bạt, nhiệm kỳ 2026 – 2031",https://batbat.hanoi.gov.vn/hoat-dong-cua-hdnd-xa-bat-bat/ubbc-xa-bat-bat-cong-bo-danh-sach-nhung-nguoi-trung-cu-dai-bieu-hdnd-xa-bat-bat-nhiem-ky-2026-2031-2759260320125613804.htm,2026-03-18,wikipedia-ref,
